Matricule,Droit_CC,Droit_Ex,PEI_CC,PEI_Ex,Mix_CC,Mix_Ex,Calc_CC,Calc_Ex,TQ_CC,TQ_Ex,Info_CC,Info_Ex,Comm_CC,Comm_Ex,Ang_CC,Ang_Ex,PPP3_CC,PPP3_Ex
2324EMD002GE,14.00,15.00,19.00,17.00,19.50,17.00,8.50,12.00,20.00,20.00,19.00,19.00,13.00,18.00,18.00,18.00,19.00,19.00
2324EMD003GE,6.00,15.00,6.00,12.00,9.00,14.00,0.00,8.00,17.00,8.00,9.00,15.00,12.00,9.00,11.50,10.50,7.00,11.00
2324EMD004GE,12.00,11.00,11.50,12.00,10.50,14.00,11.50,13.50,20.00,18.00,17.00,16.00,8.00,10.00,13.00,9.50,11.00,15.00
2324EMD005GE,12.00,14.00,5.00,10.00,12.00,13.00,12.00,12.50,18.00,18.00,17.00,16.00,10.00,12.50,13.50,13.00,7.50,11.00
2324EMD007GE,15.00,9.00,17.50,16.00,18.00,16.00,18.00,12.50,19.50,14.00,19.00,18.00,11.00,9.00,13.00,15.50,13.50,16.00
2324EMD001GE,9.00,9.00,5.00,10.00,7.50,11.00,7.00,8.00,16.00,16.00,9.00,4.00,10.00,9.00,11.50,7.50,4.50,11.00
2324EMD008GE,14.00,14.00,7.00,10.00,13.50,10.00,15.50,12.00,17.00,16.00,11.00,17.00,15.00,13.00,13.00,11.00,11.00,17.50
2324EMD009GE,9.00,11.00,6.50,13.00,6.50,14.00,11.00,16.50,8.00,18.00,10.00,18.00,10.00,10.00,13.00,12.50,7.00,14.00
2324EMD012GE,12.00,5.00,4.50,0.00,11.50,11.00,15.00,11.50,0.00,10.00,14.00,10.00,8.00,10.00,10.00,9.00,5.50,11.00
2324EMD042GE,12.00,13.00,13.00,13.00,14.00,14.00,13.50,14.00,16.00,16.00,19.00,18.00,12.00,10.50,13.00,6.50,11.50,15.00
2324EMD014GE,10.00,7.00,4.50,10.00,9.00,11.00,6.00,0.00,1.00,2.00,19.00,17.00,12.00,11.00,15.00,12.00,8.50,11.00
2324EMD015GE,17.00,18.00,9.00,16.00,18.50,19.00,18.00,11.00,20.00,20.00,17.00,17.00,14.00,15.00,17.50,14.50,10.00,17.00
2324EMD016GE,16.00,13.00,9.00,10.00,10.50,15.00,15.50,12.00,20.00,18.00,10.00,17.00,12.00,10.00,18.00,13.00,10.00,14.00
