Matricule,Fin_CC,Fin_Ex,Prod_CC,Prod_Ex,Strat_CC,Strat_Ex,Nego_CC,Nego_Ex,TCI_CC,TCI_Ex,Ang2_CC,Ang2_Ex,PPP4_CC,Proj_CC,Proj_Ex,Stage_CC,Stage_Ex
2324EMD002GE,7.00,13.00,19.00,18.00,16.00,19.50,14.00,18.00,17.50,14.00,18.00,18.00,16.00,16.00,17.00,18.00,18.00
2324EMD003GE,14.00,5.00,15.00,10.00,6.75,7.50,11.50,8.00,7.50,16.00,20.00,20.00,0.00,0.00,10.00,15.00,15.00
2324EMD004GE,9.00,11.00,19.00,16.00,15.00,18.75,18.00,19.00,10.00,10.00,18.00,20.00,17.00,17.00,17.00,16.00,16.00
2324EMD005GE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2324EMD007GE,13.00,13.00,19.00,16.00,18.75,18.00,19.00,18.50,12.50,10.00,16.00,20.00,17.00,17.00,17.00,17.00,17.00
2324EMD001GE,7.00,3.00,16.00,15.00,8.50,10.00,9.50,13.00,7.00,13.00,12.00,18.00,15.00,15.00,9.00,15.00,15.00
2324EMD008GE,14.00,11.00,15.00,16.50,19.50,17.50,18.75,17.50,10.00,14.00,16.00,16.00,15.00,15.00,17.00,16.00,16.00
2324EMD009GE,14.00,14.00,19.00,13.00,16.75,17.00,14.00,10.50,13.00,14.00,18.00,20.00,15.00,15.00,17.00,16.00,16.00
2324EMD012GE,17.00,17.00,10.00,2.00,14.50,14.50,13.00,13.00,14.00,14.00,18.00,18.00,16.00,16.00,5.00,15.00,15.00
2324EMD042GE,15.00,16.00,19.50,15.00,15.00,16.00,11.00,14.50,10.00,8.00,14.00,18.00,14.00,14.00,17.00,16.00,16.00
2324EMD014GE,8.00,5.00,5.00,7.00,7.00,9.00,15.00,10.50,10.00,6.00,18.00,18.00,0.00,0.00,7.00,15.00,15.00
2324EMD015GE,16.00,14.00,16.00,19.00,17.50,17.00,18.00,18.00,15.50,15.50,16.00,20.00,17.00,17.00,15.00,17.00,17.00
2324EMD016GE,5.00,13.00,17.00,18.50,17.50,16.00,11.00,13.00,13.00,15.00,20.00,20.00,16.00,16.00,17.00,18.00,18.00
